sub_section	preamble	question	details	field_type	choices	item	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_status	BIDS_file	BIDS_key	BIDS_key_for_unit
Measurement	Please specify details regarding measurement in this section, such as type of measurement, amplitude and latency. 	Select a type of measurement		radio_multiple	amplitude | latency | other	measure_type	measure type	1	1	1	1	Measurement	6			*_eeg.json	SoftwareFilters
Amplitude measured from		The amplitude is measured from	Please specify details of how the waveforms were constructed in the further clarification text. The details should be sufficient to allow replication. For discussion: any way to help with reporting complex steps such as measurement from waveforms that are transformed by source localization?	radio	preset:waveform	amp_measured_from	amp measured from	measure_type == 0	2	1	1	Measurement	6
Amplitude Measurement procedure		How did you calculate your waveforms for analysis? Describe in detail sufficient to allow replication.		text		waveform_further_details	waveform further details	measure_type == 0	3	1	1	Measurement	6
Approach to amplitude measurement window selection (multi choice)		Select procedure which was used for amplitude measurement in this time window.	Select procedure which was used for amplitude measurement in this time window.  If area measure is selected, please specify how this measure was calculated (e.g. rectified, signed, integral) in the Further clarification section.  If factor scores were used, please specify the details.  If other is selected, please specify further details in the Further Clarification section	radio	preset:amplitude_measurement	amp_measure_procedure	amp measure procedure	measure_type == 0	4	1	1	Measurement	6
Approach to amplitude measurement window selection: A priori		Please specify how window area measure was calculated.		radio	rectified | signed | integral	window_area_measure_further_clarification	Window area measure further clarification	amp_measure_procedure == 3	5	1	1	Measurement	6
		Please specify the details.		text		factor_scores_further_clarification	Factor scores further clarification	amp_measure_procedure == 2 || amp_measure_procedure == 6	6	1	1	Measurement	6
Approach to amplitude measurement window selection: Data-driven		How was this amplitude measurement window selected?   A priori: the window is selected in advance Data-driven: the measurement window is selected based on data obtained in the current study.  In a data driven approach, either a wider window or the entire epoch are analyzed or examined to determine which will be the final measurement window. 	A priori: the window is selected in advance Data-driven: the measurement window is selected based on data obtained in the current study. In a data driven approach, either a wider window or the entire epoch are analyzed or examined to determine which will be the final measurement window.  [if 1 was selected, jump to 6.3.3.1; if 2 was selected, jumpe to6.3.3.2] If 3 or 4 was selected, specify.	radio	a priori | data-driven | no window selection (e.g. point-by-point analysis such as mass univariate analysis) | other	amp_time_window_selection	amp time window selection	measure_type == 0	8	1	1	Measurement	6
		Select the procedure which was used for amplitude measurement in this time window.		radio	The same as in previous literature | arbitrary windows across epoch with/without overlap (time windows decided in advance) | other	approach_to_amp_measure_window_selection_a_priori	Approach to amp measure window selection A priori	amp_time_window_selection == 0	9	1	1	Measurement	6
		Please provide references.		text		amp_literature_references	amp literature references	approach_to_amp_measure_window_selection_a_priori == 0	10	1	1	Measurement	6
		Provide futher details needed for replication.		text		amp_further_details	amp further details	approach_to_amp_measure_window_selection_a_prior == 1 || approach_to_amp_measure_window_selection_a_priori == 2	11	1	1	Measurement	6
		Select the procedure which was used to identify start and end of the time window		radio	visual inspection of grand averages in separate conditions across participants | visual inspection of grand average across all conditions and participants (flattened average approach, see https://doi.org/10.1371/journal.pcbi.1008286 ) | consecutive significant tests to determine the start and the end of a window that will be analysed  | window around a peak	approach_to_amp_measure_window_selection_data_driven	Approach to amp measure window selection data driven	amp_time_window_selection == 1	12	1	1	Measurement	6
