sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_status	BIDS_key_for_unit		BIDS_key_for_unit		BIDS_file	BIDS_key
Selection of channels for analysis	Please specify channel electrode choice in this section, inclusion and excusion criteria and channel montages analysed. 	How did you decide which channels would be included/excluded from analysis	For example,  2. include exclusion of O2 after discovering loose caps cause faulty contacts over this region;  3. select channels where sensory peaks are most cleanly detected (regardless of experimental condition), prior to comparing peaks across conditions 4. after viewing the ERP per condition, selection of channels showing largest difference in time regions of interest 	radio_multiple	a priori selection of particular channels | a priori criteria for inclusion/exclusion | inclusion/exclusion decisions made after recording | all channels are used for measurement and analysis | other	channel_incl_excl_for_analysis	1	1	1	1	Channels	7							*_channels.tsv	description
Selection of channels for analysis		A-priori channel inclusion/exclusion type	Reason to include/exclude this specific combination of electrodes in the main analysis.  For example,  1. previous N400 literature shows electrode X,  and Y  For example, 2. this effect is predicted to appear over the frontal pole. Specify further details in Further Clarification column (e.g. references to papers)	radio	same channels as in previous literature | based on previous literature, but not exact replication | theory driven novel channel selection | other	channel_incl_excl_a_priori	channel_incl_excl_for_analysis.includes(0)	2	1	1	Channels	7
Selection of channels for analysis		Literature references in which this exact channel selection was used, separated by semicolon and space		textarea		channel_incl_excl_a_priori_lit_exact	channel_incl_excl_a_priori == 0	3	1	1	Channels	7
Selection of channels for analysis		Literature references for a-priori selection plus reasons for deviation/combination of references, separated by semicolon and space		textarea		channel_incl_excl_a_priori_lit_similar	channel_incl_excl_a_priori == 1	4	1	1	Channels	7
Selection of channels for analysis		Theory behind a-priori channel selection (including implementation of regions, thresholds etc, and references if relevant)	Please describe the theory your decision was based on, and how you implemented it in terms of regions, thresholds etc. You may note down any relevant references here.	textarea		channel_incl_excl_a_priori_theory_based	channel_incl_excl_a_priori == 2	5	1	1	Channels	7
Selection of channels for analysis		Describe your a-priori channel selection other than those listed		textarea		channel_incl_excl_a_priori_other	channel_incl_excl_a_priori  == 3	6	1	1	Channels	7
Selection of channels for analysis		Describe your a-priori criteria for channel inclusion/exclusion	For example, << fictional >> James uses a threshold of 5 microvolts for 2nd peak in pnp complex any channel that does not detect this signal is excluded. 	textarea		channel_incl_excl_a_priori_criterion	channel_incl_excl_for_analysis.includes(1)	7	1	1	Channels	7
Selection of channels for analysis		After recording, how did you decide which electrodes/channels to include/exclude?		radio_multiple	equipment malfunction | observed signal/noise | results dependent	channel_incl_excl_after_rec_type	channel_incl_excl_for_analysis.includes(2)	8	1	1	Channels	7
Selection of channels for analysis		Describe your equipment malfunction		textarea		channel_incl_excl_after_rec_equipmal	channel_incl_excl_after_rec_type.includes(0)	9	1	1	Channels	7
Selection of channels for analysis		Describe your signal/noise dependent inclusion/exclusion thresholds for channels		radio_multiple	visual inspection | thresholds for inclusion/exclusion decided after recording | other	channel_incl_excl_after_rec_observed	channel_incl_excl_after_rec_type.includes(1)	10	1	1	Channels	7
Selection of channels for analysis		Describe the visual inspection process for signal/noise for channel inclusion/exclusion	For example, 'channels visually identified as noisy at the time of recording were excluded'; 'channels that were identified as unstable, (i.e., frequently losing contact at the time of recording) were excluded' 'after calculation of the grant average, channels that do not show a clear PNP complex were excluded'	textarea		channel_incl_excl_after_rec_observed_visual	channel_incl_excl_after_rec_observed.includes(0)	11	1	1	Channels	7
Selection of channels for analysis		Describe your thresholds for channel inclusion/exclusion decided after recording	For example, if a single electrode in a high density net deviates by more than X% from 4 surrounding electrodes, then excluded 	textarea		channel_incl_excl_after_rec_observed_threshold	channel_incl_excl_after_rec_observed.includes(1)	12	1	1	Channels	7
Selection of channels for analysis		Describe your channel selection decided after recording based on observed signal/noise, other than those listed		textarea		channel_incl_excl_after_rec_observed_other	channel_incl_excl_after_rec_observed.includes(2)	13	1	1	Channels	7
Selection of channels for analysis		Describe how you decided on your included/excluded channels on the basis of the conditions you plan to statistically compare (e.g., channels with largest difference between critical conditions)		textarea		channel_incl_excl_after_rec_results	channel_incl_excl_after_rec_type.includes(2)	14	1	1	Channels	7
Selection of channels for analysis		Describe what process, other than listed, did you use when deciding on channels to use in the analysis.		textarea		channel_incl_excl_for_analysis_other	channel_incl_excl_for_analysis.includes(4)	15	1	1	Channels	7
Selection of channels for analysis		If you applied multiple decisions about channel inclusion/exclusion, describe the order you applied them here.		textarea		channel_incl_excl_order	channel_incl_excl_for_analysis.length > 1	16	1	1	Channels	7
Selection of channels for analysis		Did you reconstruct the signal from any missing/excluded/noisy channel(s)?		radio	preset:boolean	channel_reconstruction_exists	1	17	1	1	Channels	7
Selection of channels for analysis		In what cases was reconstruction applied?		radio	all data | subset of participants | subset of trials | subset of trials in a subset of participants	channel_reconstruction_cases	channel_reconstruction_exists == 1	18	1	1	Channels	7
Selection of channels for analysis		Explain your missing data reconstruction implemented for all participants and all trials	Data from all participants were experienced the same missing data, and the same reconstruction was applied to all recordings for all participants. For example,  'Due to an electrical fault in the amplifier, no signal was detected from T3, so T3 was reconstructed from the average of the two nearest electrodes',  	textarea		channel_reconstruction_all	channel_reconstruction_cases == 0	19	1	1	Channels	7
Selection of channels for analysis		Explain your missing data reconstruction for a subset of participants (including order of operations, if relevant)	Data from some recording sessions or some participants was reconstructed but not others. For example, in one participant, electrode FP1 detatched and was replaced by the signal from FP2	textarea		channel_reconstruction_participants	channel_reconstruction_cases == 1	20	1	1	Channels	7
Selection of channels for analysis		Explain your missing data reconstruction for a subset of trials (including order of operations, if relevant)	Data from some some trials was reconstructed but not others. For example, in 10% of trials electrode FP1 was noisy and was replaced by the signal from FP2. This problem affected 4 participants.	textarea		channel_reconstruction_trials	channel_reconstruction_cases == 2	21	1	1	Channels	7
