0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
row_formating,duplicate,,,,order,include,activity,activity_pref_label,activity_description,item,item_pref_label,item_description,mandatory,visibility,question,details,field_type,choices,unit,BIDS_status,BIDS_file,BIDS_key,BIDS_key_for_unit,,
FALSE,0,Introduction,,,1,1,introduction,Introduction,,importance_of_auxiliary_assumptions,,,1,1,The importance of auxiliary assumptions linking constructs and operational definitions,Assuming that fixations imply cognitive processing,char,,,0,,,,46,0
FALSE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,name,,,1,1,The eye-tracker used,EyeLink 1000,char,,,0,,,,92,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,producer,,,1,1,The producer of the eye-tracker,Tobii,char,,,,,,,91,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,type_remote_device,,,1,1,The type of eye-tracking device,Remote,radio,remote | head mounted,,,,,,65,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,type_of_device,,,0,0,The type of eye-tracking device,Corneal reflection,radio,corneal reflection | dual purkinje,,,,,,7,20
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,lens_size,,,0,0,The lens size of the eye-tracker,0.045,float,,meter,,,,,<1,30
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,sampling_procedure,,,0,0,The sampling procedure used,Binocular,char,,,,,,,47,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,sampling_rate,,,0,0,The sampling rate used,60,float,,hertz,,,,,77,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,accuracy,,,0,0,The accuracy of the eye-tracker,0.4,float,,degrees,,,,,33,0
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,precision,,,0,0,The precision of the eye-tracker,0.24,float,,degrees,,,,,4,10
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,temporal_precision,,,0,0,The temporal precision,The standard deviation of eye-tracker latency in s ; 0.05,float,,second,,,,,1,10
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,stimulus_synchronization_latency,,,0,0,Specification of stimulus-synchronization latencies,Delay between actual onset of a new stimulus and recorded onset of the stimulus; 0.1 ,float,,,,,,,<1,20
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,latency,,,0,0,Eye-tracker latency,End-to-end delay from the occurrence of an eye movement to the signal from the recording computer that this movement has taken place ; < 0.011 ,float,,,,,,,<1,10
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,headbox,,,0,0,Tracking range of the head box in which participants can move without losing data,0.5 x 0.4,array,,meter,,,,,1,30
TRUE,0,Methods,Apparatus,Tracker,2,1,methods_apparatus_tracker,Tracker,,chin_rest,,,0,0,If a chinrest was used,Chinrest was used,boolean,,,,,,,44,10
FALSE,0,Methods,Apparatus,Monitor,3,1,methods_apparatus_monitor,Monitor,,type,,,0,0,The type of monitor used,LCD monitor,char,,,,,,,32,0
TRUE,0,Methods,Apparatus,Monitor,3,1,methods_apparatus_monitor,Monitor,,resolution,,,1,1,The resolution of the used monitor,1280 x 1024,array,,pixel,,,,,56,0
TRUE,0,Methods,Apparatus,Monitor,3,1,methods_apparatus_monitor,Monitor,,screen_size,,,1,1,The screen size of the used monitor,19,float,,inches,,,,,30,0
TRUE,0,Methods,Apparatus,Monitor,3,1,methods_apparatus_monitor,Monitor,,screen_refresh_rate_software,,,0,0,Screen refresh rate of the used monitor,60,float,,hertz,,,,,12,0
FALSE,0,Methods,Apparatus,Software,4,1,methods_apparatus_software,Software,,pre_processing_program,,,1,1,The software used to pre-process the eye-tracking data,Tobii Studio,char,,,,,,,34,10
TRUE,0,Methods,Apparatus,Software,4,1,methods_apparatus_software,Software,,stimulus_presentation,,,1,1,The software used to present the stimuli,Matlab,char,,,,,,,46,10
FALSE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,size_of_aois,,,1,1,The size of the AOIs in pixel or degrees,100 x 100 pixel,array,,pixel,,,,,24,10
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,overlap_between_the_aois,,,1,1,Overlap between the AOIs,No overlap,char,,,,,,,66,10
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,minimal_distance_between_aois,,,1,1,The minimal distance between AOIs in pixel,,int,,pixel,,,,,6,10
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,relative_size_of_aoi_and,,,1,1,The relative size of AOIs and Content within AOIs,Bigger than stimulus,char,,,,,,,63,10
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,example_image_included,,,0,0,Example image presented in the paper,Yes,boolean,,,,,,,76,0
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,method_for_stimulus_preparation,,,1,1,Method for stimulus preparation,e.g. computer generated based on saliency scores,char,,,,,,,16,10
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,luminance_matched_between_stimuli,,,1,1,Matching of the luminance between the stimuli,Yes,boolean,,,,,,,14,20
TRUE,0,Methods,Material,AOI definition,5,1,methods_material_aoi-definition,AOI definition,,size_of_stimulus,,,0,0,The size of the stimulus," e.g., the picture, the font ; Font size 23",char,,,,,,,33,0
FALSE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,length_of_inter_stimulus_interval,,,1,1,Duration of inter stimulus interval,Self-paced by the participant,char,,,,,,,64,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,length_of_fixation_cross_presentation,,,1,1,Presentation duration of the fixation cross,0.5,float,,second,,,,,66,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,position_of_fixation_cross,,,1,1,Position of the fixation cross,Center of screen,char,,,,,,,62,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,length_of_stimulus_presentation,,,1,1,Duration of stimulus presentation,Self-paced by the participant,char,,second,,,,,84,10
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,order_of_stimulus_presentation,,,1,1,The order of the stimulus presentation,Random,char,,,,,,,71,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,counter_balancing_of_positions_in_the_presentation,,,1,1,Counter-balancing of the stimulus in the presentation across positions,No counter balancing,char,,,,,,,72,10
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,number_of_trials,,,1,1,The number of trials in the experiment,One trial,int,,,,,,,95,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,experimenter,,,0,0,Description of the person running the experiment,Experiment was run by lead author,char,,,,,,,<1,10
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,setting_and_location_of_data_collection,,,1,1,Settings and locations where data were collected,Data were collected in a soundproof room with no direct daylight,char,,,,,,,12,0
TRUE,0,Methods,Procedure,Setup,6,1,methods_procedure_setup,Setup,,distance_between_participant_and_screen,,,0,0,The distance between participants and the screen,0.6,float,,meter,,,,,59,0
FALSE,0,Methods,Procedure,Calibration,7,1,methods_procedure_calibration,Calibration,,number_of_calibration_points,,,0,0,Number of points that appeared in calibration,9,int,,,,,,,43,10
TRUE,0,Methods,Procedure,Calibration,7,1,methods_procedure_calibration,Calibration,,background_color_of_the_calibration,,,0,0,The background color of the calibration,Black,char,,,,,,,2,10
TRUE,0,Methods,Procedure,Calibration,7,1,methods_procedure_calibration,Calibration,,amount_and_time_of_recalibration,,,0,0,"Time, when the calibration was conducted.",At the beginning,char,,,,,,,74,0
TRUE,0,Methods,Procedure,Calibration,7,1,methods_procedure_calibration,Calibration,,specification_of_calibration_procedure,,,0,0,Specification of the calibration procedure,Automated and system approved calibration,char,,,,,,,4,10
FALSE,0,Methods,Procedure,Participants,8,1,methods_procedure_participants,Participants,,vision_of_participants,,,0,0,The vision of the participants,Normal or corrected,char,,,,,,,44,10
TRUE,0,Methods,Procedure,Participants,8,1,methods_procedure_participants,Participants,,proportion_of_women,,,0,0,The percentage of women,50,slider,,percentage,,,,,76,0
TRUE,0,Methods,Procedure,Participants,8,1,methods_procedure_participants,Participants,,mean_age,,,0,0,The mean age of participants,22,float,,years from birth,,,,,69,0
FALSE,0,Results,Procedure,Participants,9,1,results_procedure_participants,Participants,,procedure_to_test_vision,,,0,0,Procedure for testing visual acuity or color vision,"e.g., participants were asked or tested before experiment ; Ishihara Color Vision Test",char,,,,,,,3,0
TRUE,0,Results,Procedure,Participants,9,1,results_procedure_participants,Participants,,color_vision,,,0,0,Color vision ,"e.g., does the participant have full color vision ; Participants were only included if having correct color vision",char,,,,,,,4,10
FALSE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,handling_of_artefacts,,,0,0,Procedure for handling of participant artefacts,"e.g., drooping eyelids, mascara etc. ; Participants were asked to remove their mascara",char,,,,,,,6,20
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,obtained_accuracy,,,0,0,The obtained accuracy of the data,0.5,float,,visual degrees,,,,,3,20
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,monitoring_of_data_quality,,,1,1,Monitoring of data quality during experiment,Data quality was monitored constantly by the experimenter,char,,,,,,,3,0
